"metaphor. Because knowledge and beliefs cannot be physically absorbed, but rather learned and internalized.","metaphor. ""Absorb"" is not physically taking in knowledge, but rather mentally assimilating it.",3
metaphor. To indicate taking on or assuming responsibility for the financial burden or consequences.,"metaphor. ""Absorb"" is used to describe taking on financial burden, not physical absorption.",3
metaphor. The sales tax is included in the state income tax without being separately identified.,"metaphorical. ""Absorb"" implies assimilation, not physical absorption of a tangible substance.",2
"metaphor. It implies excessive or harmful use, not physical harm.","literal. ""Abuse"" means excessive or improper use, directly describing the husband's behavior with alcohol.",2
"literal. Physical, emotional, or verbal mistreatment of employees is occurring in the workplace.","metaphor. ""Abuse"" refers to exploitation and mistreatment, not physical harm.",2
literal. It is describing a formal recognition or acceptance of the authors' submission.,literal. The program committee is recognizing or accepting the submission in a direct sense.,3
"literal. ignorance, lack of respect, indifference, arrogance, disinterest","literal. ""Acknowledge"" means to recognize or greet someone, which is a physical action.",2
literal. It is used literally to mean to recognize or admit the existence of the deed.,"literal. ""Acknowledge"" means to accept or admit the existence or truth of something, in this case, the deed.",3
literal. It is a literal instruction to respond to a specific action or request.,"literal. The word ""answer"" refers to the direct action of responding to a ringing phone.",3
literal. The meaning of life is subjective and can vary greatly from person to person.,"metaphorical. ""Answer"" refers to a solution or explanation, not a spoken response.",1
"literal. Describing physical movement, not highlighting abstract concepts or emotions.",literal. The sentence refers to physically climbing a mountain.,2
metaphor. The editors criticized or criticized harshly the new House Speaker.,"metaphor. No physical violence is implied, but rather a verbal or written criticism.",2
"metaphor. It implies an aggressive approach, urgency, and determination to solve the problem immediately.","metaphor. No physical violence is implied, and ""attack"" means to tackle or confront vigorously.",2
"literal. Describes a physical act of aggression or violence, not a metaphorical or symbolic action.","literal. The sentence describes a physical assault on a village, involving violence and aggression.",3
"metaphor. Press photographers crowded around the movie star, overwhelming them with attention and requests.","metaphor. Physical blockade or encirclement is not implied, but rather a figurative surrounding.",2
literal. Literal action of physically wrapping and compressing the feet to restrict growth and movement.,literal. The sentence describes a physical act of constraining feet with cloth or other materials.,3
"metaphor. The spaceship is not actually on fire, but moving quickly and brightly through space.","literal. ""Blaze"" describes the intense heat and flames produced by the spaceship's engines.",2
metaphor. To criticize severely or rebuke harshly.,"metaphor. ""Blister"" is not referring to a physical skin blister, but to a verbal attack.",2
"literal. ""Blur"" literally describes a visual impairment caused by the fog obstructing clear sight.","literal. ""Blur"" describes a physical obstruction of sight, a direct effect of fog on vision.",3
"metaphor. To consume too quickly or hastily, like a bolt of lightning or a bolt of food.","metaphor. ""Bolt"" means to swallow quickly, not referring to a physical bolt or fastener.",2
literal. It is a technical term related to increasing the voltage in an electrical circuit.,"literal. ""Boost"" refers to increasing the voltage, a physical property, in a direct and concrete sense.",3
metaphor. To physically eject or remove individuals from the club premises.,"literal. ""Bounce"" refers to physical removal or ejection from a place.",3
literal. Describing the physical action of the ball rebounding off a surface.,"literal. The subject ""rubber ball"" is a physical object that can physically bounce.",3
literal. To show respect and honor.,literal. The sentence describes a physical action of inclining one's head or body.,2
metaphor. It allows air flow and keeps the wearer cool and comfortable in hot weather.,"metaphor. Fabric cannot literally breathe like a living organism, but implies ventilation.",2
literal. To allow the wine to aerate and release its aromas and flavors.,"metaphor. Wine doesn't have lungs, but exposure to air affects its flavor and aroma.",2
literal. Physical action of moving a brush against a surface is being described accurately.,literal. The sentence implies physical contact between a brush and the wall.,3
"literal. The word ""brush"" is used non-metaphorically because it describes a physical action being performed.","literal. The verb ""brush"" refers to the physical action of removing dirt or dust from the suit.",2
"metaphor. Creating and developing a stable, functional society with infrastructure, institutions, and systems for governance.","metaphor. ""Build"" implies constructing a concept, not a physical structure.",2
"metaphor. The tension and anticipation were increasing gradually, creating a sense of excitement and anticipation.","metaphor. ""Build"" describes an abstract concept, suspense, increasing in intensity.",2
literal. Literal use: physically constructing new school buildings to provide education infrastructure for residents.,literal. The sentence refers to the physical construction of schools.,3
"metaphor. ""Buy"" means believe or accept, not purchase.","metaphor. ""Buy"" means to accept or believe, not to purchase with money.",3
"literal. Literal transactional context, indicating the exchange of dedication for love with material goods or services.","metaphor. ""Buy"" is used to convey the idea of earning or winning someone's love, not a physical transaction.",2
"metaphor. The office is busy with energetic and lively activity, creating a buzzing atmosphere.","metaphor. ""Buzz"" is compared to an atmosphere of excitement, not an actual insect sound.",2
literal. Describing the sound of bees flying and moving around the hive.,"literal. Bees make a humming or vibrating sound, which is the definition of ""buzz"".",3
"metaphor. Metaphorically means she charmed or attracted them, not physically captured them.","metaphor. ""Capture"" implies winning over or charming, not physical confinement.",3
"metaphor. To convey a sense of struggle, determination, effort, and perseverance in reaching a goal.","metaphor. Humans do not have claws, so ""clawed"" is used to convey struggle and determination.",3
metaphor. To show aggressive and ruthless behavior in attacking or criticizing the rival.,"metaphor. ""Claw"" is used to describe aggressive behavior, not a physical animal-like action.",2
metaphor. Sales were increasing rapidly after prices were reduced.,"metaphor. Sales can't physically climb, but are increasing in value or amount.",3
metaphor. To convey the idea of upward progression or advancement.,"literal. The subject ""path"" is a physical entity that can ascend a hill.",2
"metaphor. Fear does not physically block the mind, but overwhelms and hinders clear thinking.","metaphor. ""Clog"" is used to describe a mental state, not a physical blockage.",2
metaphor. To describe the restriction or slowing down of movement until they were trained and controlled.,"literal. ""Clog"" originally meant a wooden shoe or block attached to a horse's foot.",1
literal. The leaves physically block the flow of water in the drains.,literal. Leaves physically block or obstruct the flow of water in the drains.,4
"metaphor. Clouds represent darkness, obscurity, and heaviness, mirroring the emotions of sadness on their faces.","metaphor. ""Clouded"" describes an emotional state, not a physical weather phenomenon.",2
metaphor. To show how the stroke affected her memory or made it unclear and confused.,"metaphor. ""Cloud"" represents a mental fog or obscurity, not a physical atmospheric phenomenon.",2
"literal. Describing physical appearance, not using cloud as metaphor for emotions or thoughts.","literal. ""Cloud"" refers to a visible mass of smoke in the air.",2
metaphor. It suggests his ideas influence and shape the content and perspective of his lectures.,"metaphor. ""Color"" refers to influence or tone, not a visual property.",2
